ID	Type	Title	Games	Authors	Date	Tags	Description	Update	Embed	URL
gmdmaxscript	tool	GMD/GFS/GAP Import Maxscript	p5,p3d,p4d,p5d,p5r,cfb	TGE,DeathChaosV2	12/14/2020	Animation,Skin,Model	A maxscript for 3DSMax that allows you to import GMD models and GAP animations from Persona 5.	<b>Update 12/14/2020</b>: <br><b>v0.16</b>:<br>- Added P5R key types (34 and 35, PSHalf and RSHalf).<br>- Added missing PRHalf keytype support (should make all Persona Dancing physics animations load now).<br><b>v0.17</b>:<br>-Fixed Morph target mesh reading code, should now read all of them correctly.<br>-Added full support for loading Persona Dancing Morph Target animations<br>-Added Camera support for Persona Dancing, should load model and camera animation without issues<br>-Fixed weights being incorrectly applied in some instances;<br>-There should no longer be models with random unrigged vertices<br>-There should no longer be models with incorrect weights	https://68.media.tumblr.com/3be5fcf3fa33ef1a0d358e54077a885c/tumblr_inline_okh4tsZRkx1rp7sxh_500.gif	https://drive.google.com/drive/folders/1isBtlZN7oJ3GQpYrZAiTvRsnYGhS7mzR?usp=sharing
evttool	tool	EVTTool	p5	TGE	5/28/2018	Event	Drag an EVT file from Persona 5's event folder onto this EXE to convert it to an editable JSON. Edit with your favorite text processor (like notepad++) and drag it back onto the EXE to convert it back to EVT.			https://cdn.discordapp.com/attachments/316238229948989450/450983719579287574/EvtTool.7z
dds2tool	tool	DDS2Tool	p5	ShrineFox	6/18/2018	PAC,Texture,Bustups	A tool for extracting and building BIN files that contain DDS bustups.		https://i.imgur.com/ew4g4po.png	https://github.com/ShrineFox/DDS2Tool/releases/
bustupparameditor	tool	BustupParamEditor	p5	ShrineFox	6/22/2018	PAC,Texture,Bustups	WIP editor for element positioning of P5's bustups.		https://i.imgur.com/Jh4aV6I.png	https://github.com/ShrineFox/BustupParamEditor/releases/
p4u2-mod-tools	tool	P4U2 Mod Tools	p4au	lipsum	8/8/2018		Includes:<br><b>bddata</b> - bddata.bin extraction tools<br><b>p4u2mod</b> - custom game update creation tool<br><b>patch</b> - patch files for use with rpcs3			https://github.com/zarroboogs/p4u2modtools
pm1editor	tool	PM1 Message Script Editor	p3fes,p4,p4g	TGE	9/30/2018	Event,Script	Unpacks and repacks text from PM1 (event) files as MSG files that you can edit.			https://cdn.discordapp.com/attachments/316238229948989450/429037688159731714/PM1MessageScriptEditor.zip
sonicaudiotools	tool	ACBEditor	p5,p3d,p4d,p5d,p5r,cfb	Skyth	10/11/2018	ACB,BGM,Sound,HCA,AT9	A tool for unpacking/repacking AWB audio archives using their corresponding ACB.		http://i.imgur.com/iveknLQ.png	https://ci.appveyor.com/project/blueskythlikesclouds/sonicaudiotools/build/artifacts
eplinjector	tool	P5 EPL Injector	p5	TGE	10/29/2018	Particle	Drag an EPL file from Persona 5 onto this EXE to extract all GMD files. Drag a folder containing GMD files onto the EXE to repack the EPL file. Useful for editing effect models or All Out Attack images.	<b>Update 5/20/2019:</b><br>- Now you can edit elemental affinities for any Persona in UNIT.TBL!	https://cdn.discordapp.com/attachments/143149937247387649/506705273142902784/unknown.png	https://cdn.discordapp.com/attachments/143149937247387649/630936955382923284/p5eplinjector_1.2.7z
pqcheatengine	tool	PQ CheatEngine Table	pq	lipsum	12/14/2018	CheatEngine	A cheat table for Persona Q, for use while playing on Citra.		https://github.com/zarroboogs/pqct/raw/master/img/preview.png	https://github.com/zarroboogs/pqct
gfdstudio	tool	GFDStudio	p5,p5r,p3d,p4d,p5d,cfb	TGE,ShrineFox,DeathChaosV2	4/6/2021	Animation,Skin,Model	A model viewer and editor for GMD/GFD files from various titles. Also supports editing and viewing animations in GAP files.	<b>Update 4/5/2021:</b> -add Minimal Vertex Attributes to model import dialogue<br>(Improves P5R custom model import compatibility)<br>- Added tooltips	https://78.media.tumblr.com/0e608d9ee7545337e92b6abaabdf0089/tumblr_inline_p99d4daPOU1rp7sxh_500.png	https://ci.appveyor.com/project/TGEnigma/gfd-studio/build/artifacts
evteditor	tool	EVTEditor	p5	ShrineFox	2/7/2019	Event,PAC,Script,FLOW,GUI	A GUI for editing events in Persona 5 Using EVTTool, AtlusScriptCompiler & AtlusFileSystemLibrary by TGE		https://media.discordapp.net/attachments/316238229948989450/543031170431057921/68747470733a2f2f692e696d6775722e636f6d2f395457396873712e706e67.png	https://github.com/ShrineFox/EVTEditor/releases
ps4bustuprepacker	tool	PS4 Bustup Repacker	p5,p5r	ShrineFox	4/26/2019	PAC,Bustups	Unpacks and repacks Persona 5 (PS4)'s bustup BINs. Drag a folder containing PS4 Bustup BINs onto this EXE to Unpack OR Drag an unpacked folder containing GNF files onto this EXE to Repack			https://github.com/ShrineFox/PS4BustupRepacker/releases
p5nametbleditor	tool	Persona5NameTableEditor	p5	ShrineFox	5/20/2019	Table	You can use this to edit strings in the NAME.TBL until a better solution comes along. Only works with unedited Persona 5 NAME.TBL for now.		https://cdn.discordapp.com/attachments/316238229948989450/580160045162168343/Capture.png	https://cdn.discordapp.com/attachments/517869837494517800/525162683998404609/Persona5NameTableEditor.zip
pq2cheatengine	tool	PQ2 CheatEngine Table	pq2	lipsum	5/23/2019	CheatEngine	A cheat table for Persona Q2, for use while playing on Citra.		https://github.com/zarroboogs/pq2ct/raw/master/img/preview.png	https://github.com/zarroboogs/pq2ct
io_plg	tool	io_plg	p5	lipsum	10/10/2019	PLG	A Blender Import-Export addon for the PLG format mesh collections found in some Atlus games. With this script you can import a PLG file to a blender mesh collection, or export a mesh collection to a PLG file.		https://github.com/zarroboogs/io_plg/raw/master/img/import.png	https://github.com/zarroboogs/io_plg/archive/master.zip
bustupparameditorgui	tool	BustupParamEditorGUI	p5	ShrineFox	11/15/2019	Bustups	New version of BustupParamEditor that allows you to change the values for X and Y positioning of the mouth, eyes, or the entire bustup. You can also add/rename entries, create new bustup .bin files, and repack edited images back into P5's bustup .bin format.	<b>Update 11/15/2019:</b><br> - Allow adding/renaming entries, creating new .bin files<br>- Automatically tries to recover last param/bustup dir path at startup<br>- Uses values from param file to select bustups now instead of static list of names<br>- Appends new entries to selected params file<br>- Can now create .bins for param entries that lack one<br>- Can now rename existing/unused entries instead of adding them	https://cdn.discordapp.com/attachments/316238229948989450/645040833485209600/unknown.png	https://github.com/ShrineFox/BustupParamEditorGUI/releases/tag/1.0
p4g-mod-cpk	tool	P4G Mod Support	p4g	lipsum	1/14/2020	CPK	Includes (for P4G US/JP):<br>- a patch that enables mod.cpk support (no more repacking 1.8GB data.cpk every single time)<br>- an intro skip patch<br>- an auto patching script<br>- a mod that serves as an indicator to see if mod.cpk support is enabled + fixes an annoying bug in US P4G's title screen (in Mod Compendium and prepackaged form)	<b>Note</b>:<br>Use <a href=""https://cdn.discordapp.com/attachments/143149937247387649/670685787280506910/MC-P4G.7z"">this custom build</a> of the Mod Compendium for now to make mod.cpk files for P4G.	https://cdn.discordapp.com/attachments/316238229948989450/666816272650076170/p4g-fix.png	https://mega.nz/folder/SrZ3VARJ#W1S3KrSbvW0-q6BCUw_jqA
p5-gfd-rel	tool	010 Editor GFD Template	p5	TGE	1/19/2020	Skin,Particle	010 Editor Template for GMD/GFS/BED/EPL/EPT/BFL. Now with full support for EPL.			https://cdn.discordapp.com/attachments/316238229948989450/668573821762011186/p5_gfd_rel_3.7z
rpcs3patcheboot	tool	RPCS3PatchEboot	p5	TGE	1/20/2020	Executable,Patch,RPCS3	Application that applies patches in a <a href=""https://amicitia.github.io/mods/p5#modloader"">RPCS3 patch.yml file</a> and applies it to the EBOOT file directly.	<b>Update 1/20/2020:</b><br>- Support for Vita EBOOT/ELFs<br> - Misc. bug fixes<br> - Support for tabs <br>- Support for decimal numbers	https://i.imgur.com/ULRLPdD.png	https://github.com/TGEnigma/RPCS3PatchEboot/releases
p5cutintool	tool	Persona 5 Cutin Tool	p5	CelestialAmber,rxys	2/3/2020	Cutin	Tool for packing and decompressing the Persona 5 Cutin .dds images. Ported from this Python script by yukinogatari: https://github.com/yukinogatari/Reverse-Engineering/blob/master/Persona%205/p5_unpack.py <br>Usage: P5CutinTool cutinDir	<b>Update 2/3/2020:</b><br>Now supports recompressing cutins thanks to rxys.		https://github.com/CelestialAmber/Persona-5-Cutin-Tool
p5r-anim-backport	tool	P5R Animation Backport (GFDStudio Fork)	p5r	Elvagan	6/7/2020	Animation,Port	GFD Studio Fork that will automatically convert P5R Animations to be loadable in P5 vanilla. It's still not in a release state so you'll need to compile it by yourself to test it. But I believe some people might be interested with it :)		https://streamable.com/bb5zkr	https://github.com/Elvagan/GFD-Studio
xacttool	tool	xacttool	p4g	TGE	6/15/2020	BGM	WIP tool for extracting/modifying XWB files.<br> <br><br><b>Known issues</b> <br>- Extracting some XWB files crashes the program such as ROOT.xwb. You can alternatively use unxwb for this. <br><br><b>Usage</b> <br>Replaces BGM019/index 20 with BGM019.wav with the loop information set: <br><i>xacttool -wb ""BGM.xwb"" -r ""BGM019.wav"" -ls 717056 -le 4511872</i> <br>Extracts the waves from the XWB file: <br><i>xacttool -wb ""BGM.xwb"" -x</i>			https://cdn.discordapp.com/attachments/316238229948989450/721606375662419988/xacttool_0.1.7z
p4g-save-converter	tool	Persona 4 Golden Save Converter	p4g	lipsum	6/16/2020	Saves	<a href=""https://github.com/zarroboogs/p4g-saveconv"" class=""postlink"">https://github.com/zarroboogs/p4g-saveconv</a><br> <br> <span style=""font-style:italic"">convert_vita2pc.py</span> is a utility that converts P4G PS Vita saves to P4G PC saves:<br> <ul> <li>PS Vita <span style=""font-style:italic"">data00XX.bin</span> and <span style=""font-style:italic"">system.bin</span> files are converted to the PC format (see FAQ #1 in README.md).</li> <li>PS Vita <span style=""font-style:italic"">sdslot.dat</span> file is converted to PC <span style=""font-style:italic"">data00XX.binslot</span> files (see FAQ #2 in README.md).</li> </ul> <span style=""font-weight:bold"">This tool will convert the above into proper PC <span style=""font-style:italic"">.bin</span>/<span style=""font-style:italic"">.binslot</span> files.</span><br> <br> <span style=""color:#FF0000""><span style=""font-weight:bold""><span style=""font-style:italic"">There's no need to edit any hashes manually.</span></span></span><br> <br> <span style=""font-style:italic"">convert_pc2vita.py</span> is a utility that converts P4G PC saves to P4G PS Vita saves by reversing the actions described above.<br> <br> <span style=""font-weight:bold""><span style=""color:#FF0000"">WARNING: REMEMBER TO BACKUP YOUR SAVES BEFORE USING THIS TOOL.</span></span><br>			
p5ftdeditor	tool	P5 Table Editor	p5	SeppNel	6/18/2020	FTD,CTD	This is a command line tool that leets you edit any ftd file, at least from p5 I don't know if any other games uses it.	<b>Update 1.3</b>: -Add support for ftd version 1 files (because apparently that it's a thing.) If you tried it before and got garbage output try now.		https://github.com/SeppNel/P5-Table-Editor/releases
p4g-cheatengine	tool	Persona 4 Golden CheatEngine Table	p4g	lipsum	6/22/2020	Debug	A cheat table for the PC version of Persona 4 Golden.		https://github.com/zarroboogs/p4g-ct/raw/master/preview.png	https://github.com/zarroboogs/p4g-ct/archive/master.zip
packtools	tool	PackTools	p3fes,p4,p4d,p4g,p5,p5d,p5r,cfb,smt3,pq,pq2	TGE	7/8/2020	PACPACk,ACXPACk,Texture3PACk,LBPACk,SMT1PACk,ACX,IMG,PAC,PAC,LB,DDT	Commandline tools by TGE for extracting and repacking various archives.<br><b>ACXPack:</b> pack, unpack, or replace contents of ACX files<br><b>DDS3Pack:</b> pack, unpack, or replace contents of DDS3's img/ddt<br><b>LBPack:</b> pack, unpack, or replace contents of LB files<br><b>PakPack:</b> pack, unpack, or replace contents of PAK/PAC/BIN files<br><b>DDS3Pack:</b> pack, unpack, or replace contents of SMT1's DATA.BIN	<b>Update 7/8/2020</b>: Fix PAK v2 & v3 not being aligned correctly		https://github.com/TGEnigma/AtlusFileSystemLibrary/releases
amicitia	tool	Amicitia	p3fes,p3d,p4,p4d,p4g,p5,p5d,p5r,cfb,smt3,pq,pq2	TGE,Fendroidus	7/12/2020	TMX,RMD,UI,PAC,ARC,ARK,AMD,TXD,PAC	A multi-use tool for hacking Persona games. Can open a variety of different Atlus formats, such as: TMX, SPR, PAC/BIN and RenderWare formats: RMD and TXD. Use this to make custom textures or import custom models!	<b>Update 7/12/2020</b>: BVP & Field pac editing bug fixes & improvements <br><b>Update 7/10/2020</b>: PAK: fix stream being closed after saving <br><b>Update 6/22/2020</b>: Fix TMX alpha not being scaled properly, Fix ""Cannot access a closed file"" bug when opening AMD files , Allow resaving and editing of TMX ""UserId"" values used to correctly rendering some graphics	http://i.imgur.com/Jd04fDD.png	https://github.com/TGEnigma/Amicitia/releases
binarytemplates	tool	Binary Templates	p3fes,p3d,p4,p4d,p4g,p5,p5d,p5r,cfb,smt3,pq,pq2	TGE,LillianGoulston	7/10/2020	Table,Event,FBN,LSD,SPD	Templates for <a href=""https://www.sweetscape.com/010editor/"">010 Editor</a> that makes editing various formats easier.	<b>Update 7/7/2020</b>: minor VISUAL.TBL update for p5_tbl	https://i.imgur.com/WfT3IEi.png	https://github.com/TGEnigma/010-Editor-Templates/archive/master.zip
p4g-pc-modloader	tool	p4gpc.modloader	p4g	TGE	11/2/2020	Debug	A mod loader for the Steam version of Persona 4 Golden, using Reloaded II for DLL injection. See <a href=""https://github.com/TGEnigma/p4gpc.modloader/blob/master/README.md"">the readme</a> for more information.	<b>Update 11/2/2020 (Development)</b>: CPK Redirection (use folder named cpk_e for mods instead of data00004 etc.) use <a href=""https://shrinefox.com/post/preappfile"">preappfile</a> to dump files referenced by cpk rather than extract PAKs.<br><b>Update 7/10/2020</b>: Log to p4gpc.modloader.log.txt in the P4G installation folder when the console is enabled		https://github.com/TGEnigma/p4gpc.modloader/releases
p4gmodelconverter	tool	P4GMOdelConverter	p4g	ShrineFox	7/23/2020	GMO	A tool for creating working P4G custom models. Converts FBX and GMO models to MDS (an editable text format) and back, with support for correcting issues that prevent custom models from rendering correctly in P4G. You can also optionally dump TM2 textures and quickly re-order animations.	<b>7/23/2020 </b>: Added PC Support, Animation management, viewing and conversion options	https://i.imgur.com/QJhyLkX.png	https://github.com/ShrineFox/P4GMOdelConverter/releases
atlusscriptcompiler	tool	Atlus Script Tools	p3fes,p4,p4g,p5,p5r,pq,pq2,smt3	TGE	11/23/2020	Script,FLOW	WIP set of tools developed for handling Atlus' script formats including: <br>flow script files (.bf)<br> message script files (.bmd) <br>This can be used to change/add dialog to several Atlus games that use BF/BMD (including Persona 4 & 5) and also modify the scripts that control certain aspects of the game like events, enemy AI etc.	<b>Update 11/23/2020:</b> - Fix variable indices when importing compiled flowscripts<br><b>Update 11/3/2020:</b> - Fix negative float values being saved incorrectly to the file, Improve writing of large operands, add P5R efigs encoding<br><b>Update 2/11/2020:</b> Add P3 & P3 FES libraries	https://i.imgur.com/ZLf6Eih.png	https://ci.appveyor.com/project/TGEnigma/atlusscripttools/build/artifacts
persona-randomizer	tool	PersonaRandomizer (Beta)	p5	ShrineFox,TGE	9/17/2020	Table	A largely untested WIP tool meant to randomize TBL values in Persona games. P5's ENCOUNT.TBL should work for randomized encounters.		https://i.imgur.com/D5jUqSv.png	https://drive.google.com/file/d/1fscQzOAqOharavexhOPuIA7d3m3F_zbk/view
modcompendium	tool	Mod Compendium	p3fes,p4,p3d,p4d,p4g,p5,p5d,p5r,cfb,smt3,pq,pq2	TGE,ShrineFox,lipsum	6/28/2021	CPK,CVM,SLUS	Easily create, combine and install multiple mods for Persona 3, 4, 5, P3P, P4G, P5R, PQ, PQ2, Catherine Full Body and the Dancing games.	<b>Update 6/28/2021:</b> Improve folders, use mod.cpk for P5R and P4G	https://i.imgur.com/Ndhy2ai.png	https://github.com/TGEnigma/Mod-Compendium/releases/
preappfile	tool	preeappfile (P4G PC CPK Tool)	p4g	TGE	11/1/2020	CPK,PAC	Archive (un)packer and code library for games developed by Preapp Partners, including the PC ports of Persona 4 Golden and the Neptunia games.<br><br><u><b>Usage instructions:</b></u><br>Drag and drop a CPK/PAC file onto preappfile to unpack.<br>Drag and drop a folder onto preappfile to pack it into a CPK and PAC file(s).<br>For further usage instructions, run preappfile with the '-h' or '--help' argument.	 	 	https://ci.appveyor.com/project/TGEnigma/preappfile/build/artifacts
aemulus-package-mgr	tool	Aemulus Package Manager	p4g,p3fes,p5,p5s	Tekka,T-Pose Ratkechi,Pixelguin,Brolijah,ShrineFox	3/31/2021	PAC,Table,Debug	No longer will you have to manually merge conflicting bin files found in different mods. This is the latest and greatest mod package manager, made specifically for Persona 4 Golden on PC (as well as P3FES, P5 and P5S). See Source for how to use.		https://screenshots.gamebanana.com/img/ss/tools/5f83f47f2b703.jpg	https://github.com/TekkaGB/AemulusModManager/releases
p5r-template	tool	Unofficial P5R 010 Template	p5r	Scarltz	12/15/2020	Table	010 Template for editing TBL files in Persona 5 Royal.	Added Persona 5 Strikers support		https://cdn.discordapp.com/attachments/681270126657798295/788305327811854366/p5r_010template.zip
p5-characterswapper	tool	P5 Character Swapper	p5	ShrineFox	11/18/2020	Skin,Animation	A program that automatically replaces one character's models and animations with another. It attempts to match up outfit IDs and falls back to a default model (051 by default) if no match is found.<br>You can also optionally retarget models or animations from one character to another.		https://i.imgur.com/c0g5kSx.png	https://github.com/ShrineFox/P5CharacterSwapper/releases/
atlusscriptcompiler-gui	tool	AtlusScriptCompiler GUI	p3fes,p4,p4g,p5,p5r,pq,pq2,smt3	ShrineFox,Tupelov	12/3/2020	Script	Erase the hassle of using commandline arguments! Place this program in the same directory as AtlusScriptCompiler.exe and run it. You can select a game, drag BF/BMD files into the window, and let the GUI handle compiling. Likewise, you can convert FLOW/MSG back to BF/BMD by dragging. Optionally supports overwriting, showing the log, hooking commands and disassembly. Thanks to Tupelov for implementing the dark theme and several other needed features and bugfixes.		https://i.imgur.com/Kw8PmoS.png	https://github.com/ShrineFox/AtlusScriptCompiler-GUI/releases
cpk-tmx-tool	tool	CPK TMX Tool	p3fes,p4	Tekka	1/12/2021	CPK,TMX	Extracts/Replaces TMX files from special CPK files found in the PS2 Persona Games.			https://github.com/TekkaGB/Cpk-Tmx-Tool/releases
p5spc-saveutil	tool	Persona 5 Strikers PC Save Utility	p5s	lipsum	2/20/2021	Saves	Decrypts/encrypts P5S PC saves<br>Converts P5S PC saves from/to Switch JP format	<b>Update 2/20/2021:</b> Added conversion from/to Switch EN format.	https://raw.githubusercontent.com/zarroboogs/p5spc.saveutil/master/img/convert.png	https://github.com/zarroboogs/p5spc.saveutil/releases/
p4adachinavi	mod	P4 Adachi Navigator	p4	ShrineFox	1/3/2016	Voice,UI,Text	A mod that replaces Teddie's navigator dialog with Tohru Adachi's clips from Persona 4 Arena Ultimax.	 	https://www.youtube.com/watch?v=nukx1gSCF4c	https://drive.google.com/open?id=1nrml3H3qFUfZUarUEyvEno-2xqKfofF1
p3adachi	mod	P3FES Playable Adachi	p3fes	ShrineFox	2/1/2016	Player,Voice,UI,Text,Persona	- Changes Models, Graphics and Music to suit Tohru Adachi. Includes custom HUD icons, pause screen renders and cut-ins. Magatsu Izanagi imported over Thanatos, new Magatsu Orpheus design and misc music tracks replaced	 	https://www.youtube.com/watch?v=wmJzWce0C6w	https://drive.google.com/open?id=1VbGsgYLoX-bZbFEEbm1_pF0Q6LNmAlXD
420yosuke	mod	Persona 420 (Weed Yosuke)	p4	ShrineFox	4/20/2016	Party,Voice	A mod for Persona 4 that replaces Yosuke Hanamura's voice clips and textures with ones from Yuri Lowenthal's performance in GTA V.	 	https://www.youtube.com/watch?v=SEDpQy5EPR4	https://drive.google.com/open?id=1u9V3TuTqRccKikIjEXayBLKkkRdUgjUV
p3paltmodels	mod	Alternate Playable Character Models	p3p	I Am Me	6/29/2016	Party,Player	A collection of party member model replacements for use with the Mod Compendium.	 	http://i.imgur.com/1BpZnui.png	https://drive.google.com/open?id=1tSKl9GYR7tbERDEyFaY5XQjagXdcptGM
p4gshinji	mod	Shinji as Protagonist	p4g	I Am Me	6/29/2016	Player	Shinji model from P3P with edited animations for use as a MC replacement.	 	https://www.youtube.com/watch?v=Ym9pMLQMkd8	https://drive.google.com/open?id=1m5GmIHA9ThY5E__Zci2v9EtS58rlBihG
p4gfemc	mod	FEMC as Protagonist	p4g	I Am Me	6/29/2016	Player	FEMC model from P3P with edited animations for use as a MC replacement.	 	https://www.youtube.com/watch?v=OflMoL8o7Uk	https://drive.google.com/open?id=1L48D_GUSJoPl6fSIb6oAYMycFeXQvJ_v
nonavi	mod	No Navigator Mod	p5	ShrineFox	4/22/2017	Voice	Modified ACB/AWB files that prevent Morgana, Futaba, and Makoto's navigator clips from playing in-battle.	 	https://www.youtube.com/watch?v=TzrBuuXUBh4	https://drive.google.com/open?id=0B3-7m2SbyW5QLUlpQzR0aEJRTzQ
p3post	mod	P3P Music in FES	p3fes	Evanjellydonut	5/1/2017	BGM	A mod that replaces some of the OST tracks to match the female protagonist's BGM from the PSP version of the game.	 	 	https://drive.google.com/open?id=1NuA4TgvxHsUNd-ePC0nwvE4i6nF7_km8
facilityvoices	mod	Less Annoying Facility Voices	p5	ShrineFox	5/4/2017	Voice	Modified ACB/AWB files that mitigate Iwai and the Velvet Room Warden's most overused voice clips.	 	https://www.youtube.com/watch?v=roQsdmktYuw	https://drive.google.com/file/d/1Q4ePCdNucKHSfYR7HooYbWHGqryF9Mjq/view
comicsans	mod	Comic Sans Font	p5	ShrineFox	5/15/2017	Font,UI	Modifies the main font of the game to use comic sans. Some might find this option more legible, all jokes aside.	 	https://www.youtube.com/watch?v=SFEkR4eiL1c	https://drive.google.com/file/d/1ER0hO9NloxqGhDfByM7FT7ytNYAxYUEP/view?usp=sharing
p5font	mod	P5 Font for P4	p4	narcku	5/16/2017	Font,UI	A mod that replaces P4's font with a custom one made from Persona 5's font.	 	 	https://drive.google.com/open?id=1KbT09puwdQG4zfcbnvlP6TYZMPXDMo-A
p3pnarukami	mod	Narukami Mod	p3p	narcku	6/12/2017	UI,Player,Party,BGM,Voice	P3P Male MC into P4 MC, English Voice to Japanese Voice(Undub by Gracek-Xilo) -Custom BGM tracks, New costumes, weapons, etc	 	http://i.imgur.com/XdO8OMG.png	https://drive.google.com/open?id=1gUave6u3NZGByEaYNrfn6zCe4Kn7gtWe
p4gfreecam	mod	P4G Free Camera	p4g	Sierra	6/12/2017	QoL	Unlimited camera control on every map.	 	https://www.youtube.com/watch?v=rH9_0vCV2Ys	https://drive.google.com/file/u/0/d/1ICX-4OSBqduQWxwksMCpqJ3w-sVU3foN/view
makehistory	mod	P4 ""Time to Make History"" Mod	p4	ShrineFox	7/18/2017	BGM	A mod that replaces the battle theme in P4 with ""Time to Make History	 	https://www.youtube.com/watch?v=jqNGDkzK3cI	https://drive.google.com/open?id=1i6V-Vauk3aLrCIMnATwrqzdUCeSa6-pA
p4moddableundub	mod	Persona 4 Moddable Undub	p4	ShrineFox	10/23/2017	Voice	This is another version of the original Undub mod for Persona 4, except rebuilt using the Mod Compendium. The game should be the exact same as the previous undub while supporting mods using the new tools.	 	https://i.imgur.com/dEkK5uO.png	https://drive.google.com/open?id=13lvyQTOtdlOlussIFEKkG57ilfVcESYE
p3moddableundub	mod	Persona 3 Moddable Undub	p3fes	ShrineFox	10/23/2017	Voice	This is another version of the original Undub mod for Persona 3 FES, except rebuilt using the Mod Compendium. The game should be the exact same as the previous undub while supporting mods using the new tools.	 	https://i.imgur.com/dEkK5uO.png	https://drive.google.com/open?id=1I8OM1jlKweQY0ylo8zxWZvw6evZS9DHd
p4d-dante	mod	Dante Over Narukami	p4d	TGE	11/22/2017	Player	Replaces Yu Narukami's Winter Uniform with <br>Dante from DMC's model from SMT: Nocturne.	 	https://www.youtube.com/watch?v=4NTsHQLXw2w	https://drive.google.com/open?id=1Hi6jViUv303plm6uZTtnY9dfUZBPSrCe
partycontrol	mod	P3 Controllable Party Members	p3fes	TGE,Warrior250	10/18/2020	QoL	This cheat code allows you to take control of your party members during their turn, just like in Persona 3 Portable and Persona 4. <br>See <a href=""https://amicitia.github.io/guides/p3-p4/cheats"">this guide</a> for how to use pnach files.	<b>Update 10/18/2020</b>: Thanks to Warrior250, here is a version of TGEnigma's Controllable Character Mod that retains regen abilities. It allows access to the in battle Persona Change menu for everyone, but this can easily be ignored.	https://www.youtube.com/watch?v=rS_YQ7wPhvY	https://mega.nz/file/qG5QgILR#JBrOyH6pjTRztGVXfCejjfanFnFlYmpiDtn3duHFnus
waluigi	mod	Waluigi over Ryuji	p5	ShrineFox	3/13/2018	Voice,Party	Replaces Ryuji's battle model and voices with Waluigi.	 	https://www.youtube.com/watch?v=mdVh7OzLc_k	https://drive.google.com/file/d/1nGhcH1y_jBFanTAN37M3Z4jnUTfmbqhC/view
